Suburb,Jan - Mar 2023,Apr - Jun 2023,Jul - Sep 2023,Oct - Dec 2023
EAST MELBOURNE,2637500,1440000,2980000,3750000
WEST MELBOURNE,1270000,1032500,1330000,1215000
FOOTSCRAY,855000,870000,987500,925500
SEDDON,1090000,1201000,1077500,1050000
KINGSVILLE,1090000,997500,1390000,1262000
MAIDSTONE,940000,920000,916300,824500
WEST FOOTSCRAY,892500,902500,950000,905000
YARRAVILLE,1090000,1160500,1100000,1085000
NEWPORT,1336300,1250000,1316000,1200000
SOUTH KINGSVILLE,1280000,1123000,1478000,817000
SPOTSWOOD,1230000,1030000,1160000,1130000
WILLIAMSTOWN,1470000,1550000,1605000,1600000
WILLIAMSTOWN NORTH,1275000,1300000,1612500,1000000
ALTONA,1167500,1100000,1200000,1100000
SEAHOLME,1570000,1354000,1420000,1537500
BRAYBROOK,688500,660000,680000,757500
ALBION,645000,800000,765000,765000
SUNSHINE,745500,827500,746000,800000
SUNSHINE NORTH,720000,710000,740000,751500
SUNSHINE WEST,641000,720000,686500,723000
ALBANVALE,590000,587500,600000,638000
KEALBA,667500,680000,672500,645000
KINGS PARK,600000,600000,592500,600000
ST ALBANS,650000,632500,647000,646000
ARDEER,644000,670000,612500,605000
BURNSIDE,752500,770000,754800,705000
BURNSIDE HEIGHTS,740000,760000,795000,700000
CAIRNLEA,956500,902500,950000,925000
CAROLINE SPRINGS,700000,752500,720800,738800
DEER PARK,619000,660000,644000,621000
MAMBOURIN,647500,661900,612500,640000
MANOR LAKES,611000,647500,642500,660000
MOUNT COTTRELL,572000,675000,675000,615000
WYNDHAM VALE,550000,550000,600000,600000
ALTONA EAST,942500,1215000,1083000,846000
ALTONA NORTH,885000,885000,852000,870000
DERRIMUT,740000,745000,700000,740000
LAVERTON SOUTH,730000,743000,713500,752000
WILLIAMS LANDING,805000,825500,802800,740000
ALTONA MEADOWS,630000,721000,670000,735000
LAVERTON,580000,557500,590000,620000
SEABROOK,750000,700900,745000,735000
HOPPERS CROSSING,625000,600000,620000,615500
TARNEIT,660000,665000,647000,650000
TRUGANINA,626000,645000,661000,645000
POINT COOK,765000,770000,775000,770000
SANCTUARY LAKES,744000,725000,720500,746000
WERRIBEE,600000,617000,618000,611000
WERRIBEE SOUTH,1038000,1200000,881000,955000
FLEMINGTON,1200000,1190000,1010800,1014500
KENSINGTON,971000,1110000,1050000,995000
ASCOT VALE,1353000,1200000,1375000,1300500
MARIBYRNONG,1150000,1110000,1207500,1100000
KEILOR EAST,970000,1035000,970000,1002000
AVONDALE HEIGHTS,930000,880300,982500,915000
KEILOR,980000,1000000,1222000,1260000
DELAHEY,680000,620000,606000,682000
HILLSIDE (MELTON),759000,750000,738500,785000
SYDENHAM,700000,760000,750000,751500
TAYLORS HILL,877500,902000,896000,941000
KEILOR DOWNS,770000,752500,719500,806000
KEILOR LODGE,855000,900000,895000,986000
TAYLORS LAKES,870000,930000,940000,933800
MOONEE PONDS,1514300,1592500,1426500,1620000
ABERFELDIE,1535500,1800500,1505000,1621000
ESSENDON,1900000,1745500,1825000,1675000
ESSENDON WEST,1010000,1277500,1235000,1160000
ESSENDON NORTH,1150000,1108500,1415000,1645000
STRATHMORE,1384000,1563800,1380000,1360000
STRATHMORE HEIGHTS,1191300,1061800,1100000,940000
AIRPORT WEST,892500,955000,920000,975000
KEILOR PARK,793000,785000,810000,807000
NIDDRIE,1148800,1050000,1242500,1187500
GLADSTONE PARK,685000,723800,710000,740000
GOWANBRAE,1320000,803500,800000,920000
TULLAMARINE,730000,720000,720000,730000
PASCOE VALE,935000,1050000,1242500,965000
PASCOE VALE SOUTH,1150000,1175000,1115000,1105000
GLENROY,770000,815000,790000,825000
HADFIELD,850000,895000,870000,850000
OAK PARK,929000,895000,1105000,1245300
BROADMEADOWS,530000,555000,550000,590000
DALLAS,490000,515000,507500,525000
JACANA,607500,593000,595000,568800
COOLAROO,500000,525000,535000,542500
MEADOW HEIGHTS,540000,560000,599500,570000
ATTWOOD,1000000,830000,744000,1077500
WESTMEADOWS,730000,735000,731000,700000
NORTH MELBOURNE,1300000,1180000,1482500,1110000
PARKVILLE,2097500,2137000,2477000,3610000
CARLTON,1620000,1500000,1425000,1359400
CARLTON NORTH,1660000,1485000,1385000,1415000
PRINCES HILL,1430000,1752500,1230000,2025000
BRUNSWICK WEST,1225000,1243000,1350000,1446000
BRUNSWICK,1322500,1325000,1265000,1274000
BRUNSWICK EAST,1300000,1365000,1406300,1428000
COBURG,1100000,1120000,1215000,1283000
COBURG EAST,1187500,974000,990000,1220000
COBURG NORTH,900000,880000,1017500,1109000
COONANS HILL,1400000,1205000,1237800,1150000
GREENVALE,850000,900000,800000,870000
FAWKNER,767500,750000,743800,800000
CAMPBELLFIELD,600000,620000,600000,617500
CRAIGIEBURN,645000,650000,652000,650000
DONNYBROOK,645000,640000,670000,645000
KALKALLO,647500,647500,635000,630000
MICKLEHAM,700000,673000,682500,680000
ROXBURGH PARK,668000,618800,622500,642500
FITZROY,1720000,1718400,1390000,1555000
COLLINGWOOD,1126000,1339000,1300000,1087500
ABBOTSFORD,1412000,1005000,1280000,1283800
CLIFTON HILL,1555000,1900000,1516000,1757500
FITZROY NORTH,1600000,1587500,1345000,1885000
NORTHCOTE,1650000,1467000,1702500,1625000
WESTGARTH,1950000,1698000,2075000,1670000
THORNBURY,1375000,1331000,1416000,1393500
PRESTON,1117500,1120000,1147500,1182500
RESERVOIR,840000,880000,871800,877500
THOMASTOWN,700000,667000,696000,692000
LALOR,656000,675000,705000,700000
EPPING,651000,665000,673000,669000
ALPHINGTON,2210000,2115000,2257000,1900000
FAIRFIELD,1760000,1700000,1300000,1685000
IVANHOE,1760000,1670000,1760000,1673000
IVANHOE EAST,2600000,2090000,2875000,1881000
BELLFIELD (BANYULE),1008000,930000,928800,950000
HEIDELBERG HEIGHTS,912500,1092500,979500,1060000
HEIDELBERG WEST,795000,715000,721300,760000
MILL PARK,755000,793500,780000,780400
BUNDOORA,810000,871000,847500,869000
KINGSBURY,773800,850000,685000,810000
EAGLEMONT,2747500,2500000,2765000,2200000
HEIDELBERG,1300500,1637300,1490000,1429000
ROSANNA,1270000,1285000,1275000,1320000
VIEWBANK,1083000,1357500,1191000,1220000
MACLEOD,1126300,1240000,1102500,1150000
YALLAMBIE,975300,870000,950000,1066000
WATSONIA,779800,832500,927500,963500
WATSONIA NORTH,916000,815000,990000,920300
BRIAR HILL,900000,1050000,1022500,1001000
GREENSBOROUGH,938500,965000,983800,1080000
ST HELENA,1134000,1239000,1175000,1200000
DIAMOND CREEK,950000,950000,962500,1005000
PLENTY,1620000,1960000,1595000,1765000
LOWER PLENTY,1400000,1188500,1244000,1260000
MONTMORENCY,1238500,1260000,1060000,1070000
ELTHAM,1030000,1159000,1225000,1239800
ELTHAM NORTH,1200000,1260000,1180000,1264500
RESEARCH,1265000,930000,1029900,1342500
WATTLE GLEN,938500,732000,933000,877500
KANGAROO GROUND SOUTH,1010000,1010000,1175000,1100000
HURSTBRIDGE,856800,890500,930000,935000
KEW,3250000,3036000,2850000,2521000
KEW NORTH,2480000,2100000,2050000,2350000
KEW EAST,2300000,2362500,2200000,2100200
BALWYN,2800000,3150000,3200000,2909000
DEEPDENE,3280000,2962500,3100000,2750000
BALWYN NORTH,2324400,2517500,2380000,2450500
BULLEEN,1340000,1405000,1400000,1457500
TEMPLESTOWE,1700000,1612000,1700000,1675500
TEMPLESTOWE LOWER,1570000,1445000,1410000,1371000
DONCASTER,1440000,1597500,1600000,1505000
DONCASTER EAST,1585000,1680000,1625000,1610000
DONVALE,1390000,1420000,1399000,1535000
WARRANDYTE,1445000,1700000,1166000,1180000
PARK ORCHARDS,1714500,1700000,1810000,1760000
WONGA PARK,1092500,1369500,1560000,1271000
CHIRNSIDE PARK,855000,1000000,908800,882000
BURNLEY,1748000,915000,1535000,1915000
CREMORNE,1132500,1517500,1392500,1166500
RICHMOND,1387500,1402500,1423000,1300000
HAWTHORN,2900000,2550000,2637000,3089400
HAWTHORN EAST,2988000,3060000,2615000,2459000
CAMBERWELL,2815000,2330000,2437000,2700500
BURWOOD,1431000,1403000,1511500,1572500
CANTERBURY,3258500,3330000,3200000,3550000
MONT ALBERT,2600000,2671500,1990000,2930000
SURREY HILLS,2313500,2410000,2520000,2353000
BOX HILL,1445500,1760000,1680000,1758000
BOX HILL SOUTH,1402500,1452500,1500000,1542000
BOX HILL NORTH,1271000,1320000,1341500,1411000
MONT ALBERT NORTH,1720000,1591500,1732500,1732500
BLACKBURN,1535000,1640000,1591000,1600300
BLACKBURN NORTH,1370000,1283400,1337000,1249300
BLACKBURN SOUTH,1333500,1342500,1362500,1401500
FOREST HILL,1100000,1220000,1245900,1325000
